Dactyloctenium_aegyptium
Marsypianthes_chamaedrys
Eragrostis_articulata
Waltheria_rotundifolia
Diodella_teres
Sida_galheirensis
Tragus_berteronianus
Mollugo_verticillata
Nicotiana_glauca
Portulaca_elatior
Pycreus_capillifolius
Cyperus_squarrosus
Portulaca_halimoides
Boerhavia_diffusa
Paspalum_erianthum
Ammannia_sp
Eclipta_prostrata
Eleocharis_minima
Cyperus_subsquarrosus
Herissantia_crispa
Senna_uniflora
Eragrostis_cf_maypurensis
Heliotropium_procumbens
Phyllanthus_heteradenius
Eragrostis_tenella
Microtea_longebracteata
Acalypha_paupercula
Stemodia_durantifolia
Aristida_adscensionis
Portulaca_umbraticola_subsp._umbraticola
Eragrostis_cilianensis
Scleria_terrestris
Euphorbia_hyssopifolia
Callisia_filiformis
Schenckia_blumenaviensis
Angelonia_pubescens
Schwenckia_americana
Mitracarpus_longicalyx
Alternanthera_bettzickiana
Tridax_procumbens
Digitaria_nuda
Eragrostis_ciliaris
Amaranthus_viridis
Froelichia_humboldtiana
Waltheria_operculata
Bouteloua_aristidoides
Prosopis_juliflora
Cnidoscolus_urens_var._stimulosus
Corchorus_argutus
Jatropha_mollissima
Trianthema_portulacastrum
Ludwigia_erecta
Gamochaeta_pensylvanica
Euphorbia_serpens
Kallstroemia_maxima
Portulaca_oleracea
Ammannia_latifolia
Euphorbia_adenoptera
Evolvulus_cordatus
Herissantia_tiubae
Mesosphaerum_amethystoides
Alternanthera_brasiliana
Portulaca_sp
Oxalis_glaucescens
Heliotropium_angiospermum
Pappophorum_pappiferum
Chamaecrista_amiciella
Centratherum_punctatum
Bernardia_sidoides
Bidens_pilosa
Tephrosia_purpurea
Kyllinga_brevifolia
Eleocharis_geniculata
Ludwigia_sp
Scoparia_dulcis
Cyperus_uncinulatus
Leptochloa_anisopoda
Eragrostis_sp2
Cyperus_polystachyos
Cyperus_sp7
Digitaria_tenuis
Solanum_americanum
Pleurophora_anomala
Tarenaya_spinosa
Ipomoea_asarifolia
Eragrostis_sp1
Scleria_sp1
Mitracarpus_sp1
Schwenckia_angustifolia
Emilia_sonchifolia
Stylosanthes_humilis
Cyperus_sp5
Cyperus_sp10
Schultesia_guianensis
Bacopa_eisenii
Cyperus_sp9
Mitracarpus_baturitensis
Sporobolus_indicus
Evolvulus_sp
Cyperus_sp6
Stemodia_maritima
Crumenaria_decumbens
Tarenaya_sp
Cyperus_sp4
Stemodia_foliosa
Scleria_sp3
Alophia_veracruzana
Euphorbia_hirta
Gamochaeta_coarctata
Eragrostis_sp3
Eragrostis_pilosa
Sida_sp
Dysphania_carinata
Ludwigia_octovalvis
Egletes_viscosa
Callitriche_deflexa
Euphorbia_thymifolia
Echinochloa_colona
Chloris_virgata
Chloris_barbata
Sida_ciliaris
Cyperus_sp8
Portulaca_sp1
Scleria_sp2
Cyperus_sp3
Rotala_rotundifolia
Cyperus_sp1
Glinus_radiatus
Heliotropium_elongatum
Cyperus_eragrostis
Waltheria_sp
Fimbristylis_vahlii
Stylosanthes_sp
Cyperus_sp2
Staelia_virgata
Ludwigia_sp1
Typha_domingensis
Portulaca_sp2
Evolvulus_filipes
Desmodium_paniculatum
Vigna_halophila
